"candidateId","initialProjects","targetProjects","launchIntervalDays","minDemandBeforeLaunchCCLX","mintFee","redemptionFee","slopeScale","cooldownDays","seeds","validationSeeds","grossFeesCCLX","netProtocolResult","validationNetProtocolResult","capitalExternal","retention90d","reserveAverageCCLX","p95RoundTripCost","p95WithdrawalSlippage","rejectedDemandRate","accountingResidualCCLX","feasible","paretoRank","violations","validationSpread"
"cand_011","3","10","260","365867.7095081657","0.02425259880255908","0.02912148521281779","0.740065970690921","0","101|102","901","1300.5187830441082","268.2319990028474","336.4594872857308","","0.46499999999999997","18325290.223874785","0.05145620762172372","0.0000030191005784030435","0.010945561915511125","3.725290298461914e-9","true","1","","0"
"cand_012","3","10","233","836823.5640227795","0.025419813338667153","0.005360359931364656","0.8695885989582166","30","101|102","901","1598.2099346755156","329.6307990268252","327.1608247450145","","0.45333333333333337","18328282.775627863","0.029888233164280128","0.000004050725123511678","0.013937976437976438","3.725290298461914e-9","true","1","","0"
"cand_013","5","10","73","437687.84194253385","0.010872955466620624","0.023097918694838883","1.6142470027552918","30","101|102","901","705.31979045875","145.47220678211715","","","0.44833333333333336","18326956.62729264","0.03336533121707763","0.000005526634914722317","0.008538333233455184","3.725290298461914e-9","true","2","","7.115211601505422"
"cand_014","3","5","196","633571.6983303428","0.0175787978223525","0.040419564885087314","1.95572004315909","90","101|102","901","989.8124696505697","204.14882186543002","","","0.4666666666666667","9925526.010490945","0.05633751884318659","0.000005065753321787933","0.011057918099595498","3.725290298461914e-9","true","1","","17.219886811234716"
"cand_015","5","10","233","284819.29702684283","0.017535118223167955","0.013134751364123077","1.4634137869579718","7","101|102","901","1130.3286589384618","233.13028590605774","232.759157449024","","0.45333333333333337","18328518.36009275","0.02992176013033729","0.0000044724995294634365","0.013937976437976438","3.725290298461914e-9","true","2","","0"
"cand_016","3","10","345","573152.7535244823","0.014962251239921898","0.04822486977791414","0.7228184461127967","0","101|102","901","896.7095919175833","184.9463533330016","","","0.4633333333333334","18325900.791543514","0.06158850506103466","0.0000037565603812356157","0.006766741911211437","3.725290298461914e-9","true","2","","12.908395587393215"
"cand_017","3","3","154","719782.3743335903","0.0015359396603889762","0.03667378221871331","0.5289714203681797","30","101|102","901","203.7127575813529","42.01575625115403","","","0.445","5527419.210108258","0.03809702438828563","0.000002945166327522619","0.0062499999999999995","1.862645149230957e-9","true","2","","3.6751325762943665"
"cand_018","5","5","156","170205.68740554154","0.001362605367321521","0.04437102042138577","1.8086828694213182","90","101|102","901","208.52003987498534","43.00725822421572","","","0.44","9928616.180768054","0.04561376984772735","0.000005900290586662303","0","3.725290298461914e-9","true","2","","8.795743233717126"
"cand_019","3","5","115","874288.4555831552","0.00377461289986968","0.01589827339630574","1.2347595088649541","7","101|102","901","281.7151119706025","58.103741843936774","","","0.44999999999999996","9928539.229102967","0.019540292039489968","0.000005533848403556367","0.011603294058481211","7.450580596923828e-9","true","1","","2.407458623402185"
"cand_020","5","5","343","339752.4142637849","0.011612714636139571","0.03941106627462432","1.6523707803571597","0","101|102","901","712.3991733701018","146.93232950758355","","","0.46499999999999997","9926054.205282979","0.05000826696771312","0.0000055483742972761695","0.011158077477291393","1.862645149230957e-9","true","2","","24.378751758152816"
